"interval_name","photic","genus_counts","bin","rank","max_ma","mid_ma","min_ma","duration_myr","abbr","colour","font"
"Aalenian","Euphotic",31,60,"international ages",174.7,172.8,170.9,3.79999999999998,"Aa","#9AD9DD","black"
"Aalenian","Unknown",18,60,"international ages",174.7,172.8,170.9,3.79999999999998,"Aa","#9AD9DD","black"
"Aeronian","Blue mesophotic",9,19,"international ages",440.8,439.65,438.5,2.30000000000001,"Ae","#B3E1C2","black"
"Aeronian","Brown mesophotic",20,19,"international ages",440.8,439.65,438.5,2.30000000000001,"Ae","#B3E1C2","black"
"Aeronian","Euphotic",75,19,"international ages",440.8,439.65,438.5,2.30000000000001,"Ae","#B3E1C2","black"
"Aeronian","Unknown",73,19,"international ages",440.8,439.65,438.5,2.30000000000001,"Ae","#B3E1C2","black"
"Albian","Blue mesophotic",5,72,"international ages",113,106.75,100.5,12.5,"Al","#CCEA97","black"
"Albian","Brown mesophotic",26,72,"international ages",113,106.75,100.5,12.5,"Al","#CCEA97","black"
"Albian","Euphotic",122,72,"international ages",113,106.75,100.5,12.5,"Al","#CCEA97","black"
"Albian","Unknown",51,72,"international ages",113,106.75,100.5,12.5,"Al","#CCEA97","black"
"Anisian","Brown mesophotic",6,51,"international ages",247.2,244.6,242,5.19999999999999,"An","#BC75B7","black"
"Anisian","Euphotic",23,51,"international ages",247.2,244.6,242,5.19999999999999,"An","#BC75B7","black"
"Anisian","Unknown",3,51,"international ages",247.2,244.6,242,5.19999999999999,"An","#BC75B7","black"
"Aptian","Blue mesophotic",22,71,"international ages",121.4,117.2,113,8.40000000000001,"Ap","#BFE48A","black"
"Aptian","Brown mesophotic",75,71,"international ages",121.4,117.2,113,8.40000000000001,"Ap","#BFE48A","black"
"Aptian","Euphotic",135,71,"international ages",121.4,117.2,113,8.40000000000001,"Ap","#BFE48A","black"
"Aptian","Unknown",112,71,"international ages",121.4,117.2,113,8.40000000000001,"Ap","#BFE48A","black"
"Aquitanian","Blue mesophotic",1,88,"international ages",23.03,21.735,20.44,2.59,"Aq","#FFFF33","black"
"Aquitanian","Brown mesophotic",42,88,"international ages",23.03,21.735,20.44,2.59,"Aq","#FFFF33","black"
"Aquitanian","Euphotic",69,88,"international ages",23.03,21.735,20.44,2.59,"Aq","#FFFF33","black"
"Aquitanian","Unknown",70,88,"international ages",23.03,21.735,20.44,2.59,"Aq","#FFFF33","black"
"Artinskian","Euphotic",3,42,"international ages",290.1,286.8,283.5,6.60000000000002,"Ar","#E37B68","black"
"Artinskian","Unknown",17,42,"international ages",290.1,286.8,283.5,6.60000000000002,"Ar","#E37B68","black"
"Asselian","Euphotic",11,40,"international ages",298.9,296.21,293.52,5.38,"As","#E36350","black"
"Asselian","Unknown",14,40,"international ages",298.9,296.21,293.52,5.38,"As","#E36350","black"
"Bajocian","Blue mesophotic",1,61,"international ages",170.9,169.55,168.2,2.70000000000002,"Baj","#A6DDE0","black"
"Bajocian","Brown mesophotic",14,61,"international ages",170.9,169.55,168.2,2.70000000000002,"Baj","#A6DDE0","black"
"Bajocian","Euphotic",46,61,"international ages",170.9,169.55,168.2,2.70000000000002,"Baj","#A6DDE0","black"
"Bajocian","Unknown",25,61,"international ages",170.9,169.55,168.2,2.70000000000002,"Baj","#A6DDE0","black"
"Barremian","Blue mesophotic",4,70,"international ages",125.77,123.585,121.4,4.36999999999999,"Barr","#B3DF7F","black"
"Barremian","Brown mesophotic",20,70,"international ages",125.77,123.585,121.4,4.36999999999999,"Barr","#B3DF7F","black"
"Barremian","Euphotic",97,70,"international ages",125.77,123.585,121.4,4.36999999999999,"Barr","#B3DF7F","black"
"Barremian","Unknown",59,70,"international ages",125.77,123.585,121.4,4.36999999999999,"Barr","#B3DF7F","black"
"Bartonian","Blue mesophotic",4,84,"international ages",41.2,39.455,37.71,3.49,"Bart","#FDC091","black"
"Bartonian","Brown mesophotic",23,84,"international ages",41.2,39.455,37.71,3.49,"Bart","#FDC091","black"
"Bartonian","Euphotic",53,84,"international ages",41.2,39.455,37.71,3.49,"Bart","#FDC091","black"
"Bartonian","Unknown",51,84,"international ages",41.2,39.455,37.71,3.49,"Bart","#FDC091","black"
"Bashkirian","Euphotic",8,36,"international ages",323.2,319.2,315.2,8,"Bas","#99C2B5","black"
"Bashkirian","Unknown",5,36,"international ages",323.2,319.2,315.2,8,"Bas","#99C2B5","black"
"Bathonian","Blue mesophotic",8,62,"international ages",168.2,166.75,165.3,2.89999999999998,"Bat","#B3E2E3","black"
"Bathonian","Brown mesophotic",31,62,"international ages",168.2,166.75,165.3,2.89999999999998,"Bat","#B3E2E3","black"
"Bathonian","Euphotic",72,62,"international ages",168.2,166.75,165.3,2.89999999999998,"Bat","#B3E2E3","black"
"Bathonian","Unknown",38,62,"international ages",168.2,166.75,165.3,2.89999999999998,"Bat","#B3E2E3","black"
"Berriasian","Blue mesophotic",9,67,"international ages",145,142.4,139.8,5.19999999999999,"Be","#8CCD60","black"
"Berriasian","Brown mesophotic",12,67,"international ages",145,142.4,139.8,5.19999999999999,"Be","#8CCD60","black"
"Berriasian","Euphotic",102,67,"international ages",145,142.4,139.8,5.19999999999999,"Be","#8CCD60","black"
"Berriasian","Unknown",18,67,"international ages",145,142.4,139.8,5.19999999999999,"Be","#8CCD60","black"
"Burdigalian","Blue mesophotic",9,89,"international ages",20.44,18.21,15.98,4.46,"Bu","#FFFF41","black"
"Burdigalian","Brown mesophotic",90,89,"international ages",20.44,18.21,15.98,4.46,"Bu","#FFFF41","black"
"Burdigalian","Euphotic",110,89,"international ages",20.44,18.21,15.98,4.46,"Bu","#FFFF41","black"
"Burdigalian","Unknown",82,89,"international ages",20.44,18.21,15.98,4.46,"Bu","#FFFF41","black"
"Callovian","Blue mesophotic",20,63,"international ages",165.3,163.4,161.5,3.80000000000001,"Call","#BFE7E5","black"
"Callovian","Brown mesophotic",18,63,"international ages",165.3,163.4,161.5,3.80000000000001,"Call","#BFE7E5","black"
"Callovian","Euphotic",61,63,"international ages",165.3,163.4,161.5,3.80000000000001,"Call","#BFE7E5","black"
"Callovian","Unknown",35,63,"international ages",165.3,163.4,161.5,3.80000000000001,"Call","#BFE7E5","black"
"Campanian","Blue mesophotic",5,77,"international ages",83.6,77.85,72.1,11.5,"Cam","#E6F47F","black"
"Campanian","Brown mesophotic",39,77,"international ages",83.6,77.85,72.1,11.5,"Cam","#E6F47F","black"
"Campanian","Euphotic",98,77,"international ages",83.6,77.85,72.1,11.5,"Cam","#E6F47F","black"
"Campanian","Unknown",56,77,"international ages",83.6,77.85,72.1,11.5,"Cam","#E6F47F","black"
"Capitanian","Blue mesophotic",3,46,"international ages",264.28,261.895,259.51,4.76999999999998,"Cap","#FB9A85","black"
"Capitanian","Euphotic",9,46,"international ages",264.28,261.895,259.51,4.76999999999998,"Cap","#FB9A85","black"
"Capitanian","Unknown",27,46,"international ages",264.28,261.895,259.51,4.76999999999998,"Cap","#FB9A85","black"
"Carnian","Blue mesophotic",12,53,"international ages",237,232,227,10,"Car","#C99BCB","black"
"Carnian","Brown mesophotic",18,53,"international ages",237,232,227,10,"Car","#C99BCB","black"
"Carnian","Euphotic",61,53,"international ages",237,232,227,10,"Car","#C99BCB","black"
"Carnian","Unknown",25,53,"international ages",237,232,227,10,"Car","#C99BCB","black"
"Cenomanian","Blue mesophotic",14,73,"international ages",100.5,97.2,93.9,6.59999999999999,"Ce","#B3DE53","black"
"Cenomanian","Brown mesophotic",46,73,"international ages",100.5,97.2,93.9,6.59999999999999,"Ce","#B3DE53","black"
"Cenomanian","Euphotic",119,73,"international ages",100.5,97.2,93.9,6.59999999999999,"Ce","#B3DE53","black"
"Cenomanian","Unknown",68,73,"international ages",100.5,97.2,93.9,6.59999999999999,"Ce","#B3DE53","black"
"Changhsingian","Blue mesophotic",6,48,"international ages",254.14,253.021,251.902,2.238,"Chan","#FCC0B2","black"
"Changhsingian","Euphotic",4,48,"international ages",254.14,253.021,251.902,2.238,"Chan","#FCC0B2","black"
"Changhsingian","Unknown",11,48,"international ages",254.14,253.021,251.902,2.238,"Chan","#FCC0B2","black"
"Chattian","Blue mesophotic",2,87,"international ages",27.82,25.425,23.03,4.79,"Chat","#FEE6AA","black"
"Chattian","Brown mesophotic",51,87,"international ages",27.82,25.425,23.03,4.79,"Chat","#FEE6AA","black"
"Chattian","Euphotic",114,87,"international ages",27.82,25.425,23.03,4.79,"Chat","#FEE6AA","black"
"Chattian","Unknown",42,87,"international ages",27.82,25.425,23.03,4.79,"Chat","#FEE6AA","black"
"Coniacian","Blue mesophotic",3,75,"international ages",89.8,88.05,86.3,3.5,"Co","#CCE968","black"
"Coniacian","Brown mesophotic",2,75,"international ages",89.8,88.05,86.3,3.5,"Co","#CCE968","black"
"Coniacian","Euphotic",36,75,"international ages",89.8,88.05,86.3,3.5,"Co","#CCE968","black"
"Coniacian","Unknown",12,75,"international ages",89.8,88.05,86.3,3.5,"Co","#CCE968","black"
"Danian","Blue mesophotic",4,79,"international ages",66,63.8,61.6,4.4,"Dan","#FDB462","black"
"Danian","Brown mesophotic",17,79,"international ages",66,63.8,61.6,4.4,"Dan","#FDB462","black"
"Danian","Euphotic",47,79,"international ages",66,63.8,61.6,4.4,"Dan","#FDB462","black"
"Danian","Unknown",44,79,"international ages",66,63.8,61.6,4.4,"Dan","#FDB462","black"
"Dapingian","Euphotic",2,13,"international ages",470,468.65,467.3,2.69999999999999,"Dap","#66C092","black"
"Dapingian","Unknown",6,13,"international ages",470,468.65,467.3,2.69999999999999,"Dap","#66C092","black"
"Darriwilian","Blue mesophotic",3,14,"international ages",467.3,462.85,458.4,8.90000000000003,"Dar","#74C69C","black"
"Darriwilian","Brown mesophotic",2,14,"international ages",467.3,462.85,458.4,8.90000000000003,"Dar","#74C69C","black"
"Darriwilian","Euphotic",5,14,"international ages",467.3,462.85,458.4,8.90000000000003,"Dar","#74C69C","black"
"Darriwilian","Unknown",13,14,"international ages",467.3,462.85,458.4,8.90000000000003,"Dar","#74C69C","black"
"Eifelian","Blue mesophotic",28,29,"international ages",393.3,390.5,387.7,5.60000000000002,"Ei","#F1D576","black"
"Eifelian","Brown mesophotic",24,29,"international ages",393.3,390.5,387.7,5.60000000000002,"Ei","#F1D576","black"
"Eifelian","Euphotic",105,29,"international ages",393.3,390.5,387.7,5.60000000000002,"Ei","#F1D576","black"
"Eifelian","Unknown",69,29,"international ages",393.3,390.5,387.7,5.60000000000002,"Ei","#F1D576","black"
"Emsian","Blue mesophotic",26,28,"international ages",407.6,400.45,393.3,14.3,"Em","#E5D075","black"
"Emsian","Brown mesophotic",19,28,"international ages",407.6,400.45,393.3,14.3,"Em","#E5D075","black"
"Emsian","Euphotic",97,28,"international ages",407.6,400.45,393.3,14.3,"Em","#E5D075","black"
"Emsian","Unknown",107,28,"international ages",407.6,400.45,393.3,14.3,"Em","#E5D075","black"
"Famennian","Brown mesophotic",1,32,"international ages",372.2,365.55,358.9,13.3,"Fa","#F2EDC5","black"
"Famennian","Euphotic",16,32,"international ages",372.2,365.55,358.9,13.3,"Fa","#F2EDC5","black"
"Famennian","Unknown",27,32,"international ages",372.2,365.55,358.9,13.3,"Fa","#F2EDC5","black"
"Floian","Euphotic",2,12,"international ages",477.7,473.85,470,7.69999999999999,"Fl","#41B087","black"
"Floian","Unknown",3,12,"international ages",477.7,473.85,470,7.69999999999999,"Fl","#41B087","black"
"Frasnian","Blue mesophotic",22,31,"international ages",382.7,377.45,372.2,10.5,"Fr","#F2EDAD","black"
"Frasnian","Brown mesophotic",20,31,"international ages",382.7,377.45,372.2,10.5,"Fr","#F2EDAD","black"
"Frasnian","Euphotic",89,31,"international ages",382.7,377.45,372.2,10.5,"Fr","#F2EDAD","black"
"Frasnian","Unknown",47,31,"international ages",382.7,377.45,372.2,10.5,"Fr","#F2EDAD","black"
"Givetian","Blue mesophotic",26,30,"international ages",387.7,385.2,382.7,5,"Gi","#F1E185","black"
"Givetian","Brown mesophotic",60,30,"international ages",387.7,385.2,382.7,5,"Gi","#F1E185","black"
"Givetian","Euphotic",125,30,"international ages",387.7,385.2,382.7,5,"Gi","#F1E185","black"
"Givetian","Unknown",90,30,"international ages",387.7,385.2,382.7,5,"Gi","#F1E185","black"
"Gorstian","Blue mesophotic",6,23,"international ages",427.4,426.5,425.6,1.79999999999995,"Go","#CCECDD","black"
"Gorstian","Brown mesophotic",4,23,"international ages",427.4,426.5,425.6,1.79999999999995,"Go","#CCECDD","black"
"Gorstian","Euphotic",61,23,"international ages",427.4,426.5,425.6,1.79999999999995,"Go","#CCECDD","black"
"Gorstian","Unknown",76,23,"international ages",427.4,426.5,425.6,1.79999999999995,"Go","#CCECDD","black"
"Gzhelian","Euphotic",9,39,"international ages",303.7,301.3,298.9,4.80000000000001,"Gz","#CCD4C7","black"
"Gzhelian","Unknown",5,39,"international ages",303.7,301.3,298.9,4.80000000000001,"Gz","#CCD4C7","black"
"Hauterivian","Brown mesophotic",10,69,"international ages",132.6,129.185,125.77,6.83,"Ha","#A6D975","black"
"Hauterivian","Euphotic",63,69,"international ages",132.6,129.185,125.77,6.83,"Ha","#A6D975","black"
"Hauterivian","Unknown",18,69,"international ages",132.6,129.185,125.77,6.83,"Ha","#A6D975","black"
"Hettangian","Blue mesophotic",1,56,"international ages",201.4,200.45,199.5,1.90000000000001,"He","#4EB3D3","black"
"Hettangian","Brown mesophotic",9,56,"international ages",201.4,200.45,199.5,1.90000000000001,"He","#4EB3D3","black"
"Hettangian","Euphotic",24,56,"international ages",201.4,200.45,199.5,1.90000000000001,"He","#4EB3D3","black"
"Hettangian","Unknown",11,56,"international ages",201.4,200.45,199.5,1.90000000000001,"He","#4EB3D3","black"
"Hirnantian","Blue mesophotic",2,17,"international ages",445.2,444.5,443.8,1.39999999999998,"Hi","#A6DBAB","black"
"Hirnantian","Brown mesophotic",5,17,"international ages",445.2,444.5,443.8,1.39999999999998,"Hi","#A6DBAB","black"
"Hirnantian","Euphotic",54,17,"international ages",445.2,444.5,443.8,1.39999999999998,"Hi","#A6DBAB","black"
"Hirnantian","Unknown",42,17,"international ages",445.2,444.5,443.8,1.39999999999998,"Hi","#A6DBAB","black"
"Holocene","Blue mesophotic",8,97,"international ages",0.0117,0.00585,0,0.0117,"H","#FEF2E0","black"
"Holocene","Brown mesophotic",1,97,"international ages",0.0117,0.00585,0,0.0117,"H","#FEF2E0","black"
"Holocene","Euphotic",76,97,"international ages",0.0117,0.00585,0,0.0117,"H","#FEF2E0","black"
"Holocene","Unknown",30,97,"international ages",0.0117,0.00585,0,0.0117,"H","#FEF2E0","black"
"Homerian","Blue mesophotic",18,22,"international ages",430.5,428.95,427.4,3.10000000000002,"Ho","#CCEBD1","black"
"Homerian","Brown mesophotic",9,22,"international ages",430.5,428.95,427.4,3.10000000000002,"Ho","#CCEBD1","black"
"Homerian","Euphotic",71,22,"international ages",430.5,428.95,427.4,3.10000000000002,"Ho","#CCEBD1","black"
"Homerian","Unknown",90,22,"international ages",430.5,428.95,427.4,3.10000000000002,"Ho","#CCEBD1","black"
"Kasimovian","Euphotic",5,38,"international ages",307,305.35,303.7,3.30000000000001,"Kas","#BFD0C5","black"
"Kasimovian","Unknown",4,38,"international ages",307,305.35,303.7,3.30000000000001,"Kas","#BFD0C5","black"
"Katian","Blue mesophotic",29,16,"international ages",453,449.1,445.2,7.80000000000001,"Kat","#99D69F","black"
"Katian","Brown mesophotic",28,16,"international ages",453,449.1,445.2,7.80000000000001,"Kat","#99D69F","black"
"Katian","Euphotic",90,16,"international ages",453,449.1,445.2,7.80000000000001,"Kat","#99D69F","black"
"Katian","Unknown",81,16,"international ages",453,449.1,445.2,7.80000000000001,"Kat","#99D69F","black"
"Kimmeridgian","Blue mesophotic",9,65,"international ages",154.8,152,149.2,5.60000000000002,"Ki","#CCECF4","black"
"Kimmeridgian","Brown mesophotic",47,65,"international ages",154.8,152,149.2,5.60000000000002,"Ki","#CCECF4","black"
"Kimmeridgian","Euphotic",131,65,"international ages",154.8,152,149.2,5.60000000000002,"Ki","#CCECF4","black"
"Kimmeridgian","Unknown",22,65,"international ages",154.8,152,149.2,5.60000000000002,"Ki","#CCECF4","black"
"Kungurian","Blue mesophotic",1,43,"international ages",283.5,278.255,273.01,10.49,"Ku","#E38776","black"
"Kungurian","Brown mesophotic",1,43,"international ages",283.5,278.255,273.01,10.49,"Ku","#E38776","black"
"Kungurian","Euphotic",28,43,"international ages",283.5,278.255,273.01,10.49,"Ku","#E38776","black"
"Kungurian","Unknown",39,43,"international ages",283.5,278.255,273.01,10.49,"Ku","#E38776","black"
"Ladinian","Blue mesophotic",3,52,"international ages",242,239.5,237,5,"Lad","#C983BF","black"
"Ladinian","Brown mesophotic",4,52,"international ages",242,239.5,237,5,"Lad","#C983BF","black"
"Ladinian","Euphotic",30,52,"international ages",242,239.5,237,5,"Lad","#C983BF","black"
"Ladinian","Unknown",6,52,"international ages",242,239.5,237,5,"Lad","#C983BF","black"
"Langhian","Blue mesophotic",10,90,"international ages",15.98,14.9,13.82,2.16,"Lan","#FFFF4D","black"
"Langhian","Brown mesophotic",36,90,"international ages",15.98,14.9,13.82,2.16,"Lan","#FFFF4D","black"
"Langhian","Euphotic",68,90,"international ages",15.98,14.9,13.82,2.16,"Lan","#FFFF4D","black"
"Langhian","Unknown",65,90,"international ages",15.98,14.9,13.82,2.16,"Lan","#FFFF4D","black"
"Lochkovian","Blue mesophotic",16,26,"international ages",419.2,415,410.8,8.39999999999998,"Lo","#E5B75A","black"
"Lochkovian","Brown mesophotic",39,26,"international ages",419.2,415,410.8,8.39999999999998,"Lo","#E5B75A","black"
"Lochkovian","Euphotic",66,26,"international ages",419.2,415,410.8,8.39999999999998,"Lo","#E5B75A","black"
"Lochkovian","Unknown",106,26,"international ages",419.2,415,410.8,8.39999999999998,"Lo","#E5B75A","black"
"Ludfordian","Blue mesophotic",5,24,"international ages",425.6,424.3,423,2.60000000000002,"Lud","#D9F0DF","black"
"Ludfordian","Brown mesophotic",8,24,"international ages",425.6,424.3,423,2.60000000000002,"Lud","#D9F0DF","black"
"Ludfordian","Euphotic",67,24,"international ages",425.6,424.3,423,2.60000000000002,"Lud","#D9F0DF","black"
"Ludfordian","Unknown",79,24,"international ages",425.6,424.3,423,2.60000000000002,"Lud","#D9F0DF","black"
"Lutetian","Brown mesophotic",26,83,"international ages",47.8,44.5,41.2,6.59999999999999,"Lut","#FCB482","black"
"Lutetian","Euphotic",63,83,"international ages",47.8,44.5,41.2,6.59999999999999,"Lut","#FCB482","black"
"Lutetian","Unknown",53,83,"international ages",47.8,44.5,41.2,6.59999999999999,"Lut","#FCB482","black"
"Maastrichtian","Blue mesophotic",11,78,"international ages",72.1,69.05,66,6.09999999999999,"Ma","#F2FA8C","black"
"Maastrichtian","Brown mesophotic",34,78,"international ages",72.1,69.05,66,6.09999999999999,"Ma","#F2FA8C","black"
"Maastrichtian","Euphotic",88,78,"international ages",72.1,69.05,66,6.09999999999999,"Ma","#F2FA8C","black"
"Maastrichtian","Unknown",55,78,"international ages",72.1,69.05,66,6.09999999999999,"Ma","#F2FA8C","black"
"Messinian","Brown mesophotic",19,93,"international ages",7.246,6.2895,5.333,1.913,"Mes","#FFFF73","black"
"Messinian","Euphotic",74,93,"international ages",7.246,6.2895,5.333,1.913,"Mes","#FFFF73","black"
"Messinian","Unknown",51,93,"international ages",7.246,6.2895,5.333,1.913,"Mes","#FFFF73","black"
"Moscovian","Euphotic",6,37,"international ages",315.2,311.1,307,8.19999999999999,"Mo","#C7CBB9","black"
"Moscovian","Unknown",14,37,"international ages",315.2,311.1,307,8.19999999999999,"Mo","#C7CBB9","black"
"Norian","Blue mesophotic",5,54,"international ages",227,217.75,208.5,18.5,"Nori","#D6AAD3","black"
"Norian","Brown mesophotic",14,54,"international ages",227,217.75,208.5,18.5,"Nori","#D6AAD3","black"
"Norian","Euphotic",90,54,"international ages",227,217.75,208.5,18.5,"Nori","#D6AAD3","black"
"Norian","Unknown",35,54,"international ages",227,217.75,208.5,18.5,"Nori","#D6AAD3","black"
"Oxfordian","Blue mesophotic",8,64,"international ages",161.5,158.15,154.8,6.69999999999999,"Ox","#BFE7F1","black"
"Oxfordian","Brown mesophotic",29,64,"international ages",161.5,158.15,154.8,6.69999999999999,"Ox","#BFE7F1","black"
"Oxfordian","Euphotic",127,64,"international ages",161.5,158.15,154.8,6.69999999999999,"Ox","#BFE7F1","black"
"Oxfordian","Unknown",37,64,"international ages",161.5,158.15,154.8,6.69999999999999,"Ox","#BFE7F1","black"
"Piacenzian","Brown mesophotic",51,95,"international ages",3.6,3.09,2.58,1.02,"Pi","#FFFFBF","black"
"Piacenzian","Euphotic",84,95,"international ages",3.6,3.09,2.58,1.02,"Pi","#FFFFBF","black"
"Piacenzian","Unknown",42,95,"international ages",3.6,3.09,2.58,1.02,"Pi","#FFFFBF","black"
"Pleistocene","Blue mesophotic",22,96,"international ages",2.58,1.29585,0.0117,2.5683,"Ple","#FFEDB3","black"
"Pleistocene","Brown mesophotic",73,96,"international ages",2.58,1.29585,0.0117,2.5683,"Ple","#FFEDB3","black"
"Pleistocene","Euphotic",128,96,"international ages",2.58,1.29585,0.0117,2.5683,"Ple","#FFEDB3","black"
"Pleistocene","Unknown",101,96,"international ages",2.58,1.29585,0.0117,2.5683,"Ple","#FFEDB3","black"
"Pliensbachian","Brown mesophotic",9,58,"international ages",192.9,188.55,184.2,8.70000000000002,"Pl","#80C5DD","black"
"Pliensbachian","Euphotic",77,58,"international ages",192.9,188.55,184.2,8.70000000000002,"Pl","#80C5DD","black"
"Pliensbachian","Unknown",11,58,"international ages",192.9,188.55,184.2,8.70000000000002,"Pl","#80C5DD","black"
"Pragian","Brown mesophotic",9,27,"international ages",410.8,409.2,407.6,3.19999999999999,"Pra","#E5C468","black"
"Pragian","Euphotic",39,27,"international ages",410.8,409.2,407.6,3.19999999999999,"Pra","#E5C468","black"
"Pragian","Unknown",49,27,"international ages",410.8,409.2,407.6,3.19999999999999,"Pra","#E5C468","black"
"Priabonian","Blue mesophotic",23,85,"international ages",37.71,35.805,33.9,3.81,"Pria","#FDCDA1","black"
"Priabonian","Brown mesophotic",38,85,"international ages",37.71,35.805,33.9,3.81,"Pria","#FDCDA1","black"
"Priabonian","Euphotic",75,85,"international ages",37.71,35.805,33.9,3.81,"Pria","#FDCDA1","black"
