Interval,max.ma,min.ma,reef_bin,r.stage,r.stage2,s.seq,stg100,stg100.2,stg99,stg99.2,System
Neoproterozoic,1000,542,NA,1,1,0,1,1,1,1,Ediacaran
Riphean,850,720,NA,1,1,0,1,1,1,1,Ediacaran
late Xifengshi epoch,800,542,1,2,3,0,2,3,2,3,Ediacaran
Dengying epoch,635,541,1,2,3,0,2,3,2,3,Ediacaran
Ediacaran,635,541,1,2,3,0,2,3,2,3,Ediacaran
Hadrynian,635,541,1,1,2,0,1,2,1,2,Ediacaran
Vendian,635,541,1,3,3,0,3,3,3,3,Ediacaran
upper Ediacaran,635,541,1,3,3,0,3,3,3,3,Ediacaran
middle Ediacaran,635,541,1,3,3,0,3,3,3,3,Ediacaran
Nemakit-Daldynian,541,529,2,4,4,1,4,4,4,4,Cambrian
pre-Tommotian,541,529,2,4,4,1,4,4,4,4,Cambrian
Cambrian,541,485.4,NA,NA,NA,NA,NA,NA,NA,NA,Cambrian
lower Cambrian,529,521,3,NA,NA,1,NA,NA,NA,NA,Cambrian
Lower Cambrian,529,521,3,NA,NA,1,NA,NA,NA,NA,Cambrian
Tommotian,529,521,3,5,5,1,5,5,5,5,Cambrian
upper Tommotian,529,521,3,5,5,1,5,5,5,5,Cambrian
lower Tommotian,529,521,3,5,5,1,5,5,5,5,Cambrian
Tommotian/Atdabanian,529,514,3,6,6,1,6,6,6,6,Cambrian
upper Ovetian,529,509,3,6,6,1,6,6,6,6,Cambrian
Atdabanian,521,514,3,6,6,1,6,6,6,6,Cambrian
upper Atdabanian,521,514,3,6,6,1,6,6,6,6,Cambrian
lower Atdabian,521,514,3,6,6,1,6,6,6,6,Cambrian
lower Atdabanian,521,514,3,6,6,1,6,6,6,6,Cambrian
Atdabanian/Botomian,521,514,3,6,7,1,6,7,6,7,Cambrian
Atdabanian-Botomian,521,509,3,6,7,1,7,7,7,7,Cambrian
Lenian,521,509,3,6,7,1,6,7,6,7,Cambrian
Lenian-Amgaian,521,509,3,6,8,1,6,8,6,8,Cambrian
Tianheban epoch,521,509,3,NA,NA,1,NA,NA,NA,NA,Cambrian
late Shuijingtou epoch,521,505,3,7,7,1,7,7,7,7,Cambrian
Botomian,514,509,3,7,7,1,7,7,7,7,Cambrian
lower Botomian,514,509,3,7,7,1,7,7,7,7,Cambrian
middle Botomian,514,509,3,7,7,1,7,7,7,7,Cambrian
upper Botomian,514,509,3,7,7,1,7,7,7,7,Cambrian
late Botomian-early Toyonian,514,509,3,7,7,1,7,7,7,7,Cambrian
Botomian-Toyonian,514,509,3,7,7,1,7,7,7,7,Cambrian
late Botomian-Toyonian,514,509,3,7,7,1,7,7,7,7,Cambrian
upper Botomian-Toyonian,514,509,3,7,7,1,7,7,7,7,Cambrian
Toyonian,514,509,3,7,7,1,7,7,7,7,Cambrian
Toyonian?,514,509,3,7,7,1,7,7,7,7,Cambrian
late Botomian,514,509,3,7,7,1,7,7,7,7,Cambrian
Maentwrogian,497,494,3,11,11,2,11,11,11,11,Cambrian
upper Botomian - Toyonian,514,504.5,3,7,7,1,7,7,7,7,Cambrian
lower Middle Cambrian,509,505,4,8,8,2,8,8,8,8,Cambrian
early Middle Cambrian,509,505,4,8,8,2,8,8,8,8,Cambrian
Middle Cambrian,509,497,4,8,10,2,8,10,8,10,Cambrian
middle Middle Cambrian,509,497,4,9,9,2,9,9,9,9,Cambrian
Middle/Upper Cambrian,509,485,4,10,11,2,10,11,10,11,Cambrian
