"accepted_genus","family","genus","coloniality","n","source","description"
"Acervularia","Acervulariidae","Acervularia","colonial",40,"",""
"Diplophyllum","Acervulariidae","Diplophyllum","colonial",7,"",""
"Rhapidophyllum","Acervulariidae","Rhapidophyllum","",3,"",""
"Oliveria","Acervulariidae","Oliveria","solitary",1,"",""
"Acrocyathus","Acrocyathidae","Acrocyathus","colonial",8,"",""
"Acrophyllum","Acrophyllidae","Acrophyllum","solitary",8,"",""
"Scenophyllum","Acrophyllidae","Scenophyllum","solitary",5,"",""
"Adamanophyllum","Adamanophyllidae","Adamanophyllum","solitary",1,"",""
"Flagellophyllum","Adamanophyllidae","Flagellophyllum","colonial",0,"",""
"Tachyphyllum","Adamanophyllidae","Tachyphyllum","solitary",0,"",""
"Amplexus","Amplexidae","Amplexus","solitary",141,"",""
"Heterophrentis","Amplexidae","Heterophrentis","solitary",124,"",""
"Lindstroemophyllum","Amplexidae","Lindstroemophyllum","solitary",4,"",""
"Arnplexus","Amplexidae","Arnplexus","solitary",3,"",""
"Bordenia","Amplexidae","Bordenia","solitary",0,"",""
"Amsdenoides","Amsdenoididae","Amsdenoides","solitary",4,"",""
"Multicarinophyllum","Amsdenoididae","Multicarinophyllum","solitary",1,"",""
"Anisophyllum","Anisophyllidae","Anisophyllum","solitary",3,"",""
"Fasciculophyllum","Antiphyllidae","Fasciculophyllum","solitary",85,"",""
"Rotiphyllum","Antiphyllidae","Rotiphyllum","solitary",68,"",""
"Bradyphyllum","Antiphyllidae","Bradyphyllum","solitary",34,"",""
"Lytvolasma","Antiphyllidae","Lytvolasma","solitary",18,"",""
"Actinophrentis","Antiphyllidae","Actinophrentis","solitary",11,"",""
"Sloveniaxon","Antiphyllidae","Sloveniaxon","solitary",11,"",""
"Claviphyllum","Antiphyllidae","Claviphyllum","solitary",8,"",""
"Clavilasma","Antiphyllidae","Clavilasma","solitary",0,"",""
"Pseudobradyphyllum","Antiphyllidae","Pseudobradyphyllum","solitary",0,"",""
"Pseudoclaviphyllum","Antiphyllidae","Pseudoclaviphyllum","solitary",0,"",""
"Aphrophyllum","Aphrophyllidae","Aphrophyllum","colonial",10,"",""
"Symplectophyllum","Aphrophyllidae","Symplectophyllum","solitary",8,"",""
"Merlewoodia","Aphrophyllidae","Merlewoodia","solitary",7,"",""
"Aphrophylloides","Aphrophyllidae","Aphrophylloides","colonial",1,"",""
"Coenaphrodia","Aphrophyllidae","Coenaphrodia","colonial",1,"",""
"Naoides","Aphrophyllidae","Naoides","solitary",1,"",""
"Nothaphrophyllum","Aphrophyllidae","Nothaphrophyllum","colonial",0,"",""
"Arachnophyllum","Arachnophyllidae","Arachnophyllum","colonial",33,"",""
"Chonophyllum","Arachnophyllidae","Chonophyllum","solitary",22,"",""
"Craterophyllum","Arachnophyllidae","Craterophyllum","solitary",7,"",""
"Idiophyllum","Arachnophyllidae","Idiophyllum","solitary",4,"",""
"Naos","Arachnophyllidae","Naos","solitary",2,"",""
"Angullophyllum","Arachnophyllidae","Angullophyllum","colonial",1,,"cerioid"
"Zenophila","Arachnophyllidae","Zenophila","colonial",1,"",""
"Ningqiangophyllum","Arachnophyllidae","Ningqiangophyllum","colonial",0,"",""
"Pseudomucophyllum","Arachnophyllidae","Pseudomucophyllum","solitary",0,"",""
"Werneckelasma","Arachnophyllidae","Werneckelasma","solitary",0,"",""
"Dibunophyllum","Aulophyllidae","Dibunophyllum","solitary",124,"",""
"Clisiophyllum","Aulophyllidae","Clisiophyllum","solitary",66,"",""
"Koninckophyllum","Aulophyllidae","Koninckophyllum","solitary",57,"",""
"Arachnolasma","Aulophyllidae","Arachnolasma","solitary",34,"",""
"Aulophyllum","Aulophyllidae","Aulophyllum","solitary",34,"",""
"Rylstonia","Aulophyllidae","Rylstonia","solitary",32,"",""
"Cyathoclisia","Aulophyllidae","Cyathoclisia","solitary",26,"",""
"Amygdalophyllum","Aulophyllidae","Amygdalophyllum","solitary",21,"",""
"Haplolasma","Aulophyllidae","Haplolasma","solitary",18,"",""
"Neokoninckophyllum","Aulophyllidae","Neokoninckophyllum","solitary",15,"",""
"Amandophyllum","Aulophyllidae","Amandophyllum","solitary",11,"",""
"Yuanophyllum","Aulophyllidae","Yuanophyllum","solitary",11,"",""
"Heritschioides","Aulophyllidae","Heritschioides","colonial",10,"",""
"Heterocaninia","Aulophyllidae","Heterocaninia","solitary",10,"",""
"Kueichouphyllum","Aulophyllidae","Kueichouphyllum","solitary",10,"",""
"Corwenia","Aulophyllidae","Corwenia","colonial",9,"",""
"Neoclisiophyllum","Aulophyllidae","Neoclisiophyllum","solitary",7,"",""
"Turbinatocaninia","Aulophyllidae","Turbinatocaninia","solitary",6,"",""
"Carruthersella","Aulophyllidae","Carruthersella","solitary",5,"",""
"Echigophyllum","Aulophyllidae","Echigophyllum","solitary",5,"",""
"Auloclisia","Aulophyllidae","Auloclisia","solitary",4,"",""
"Axoclisia","Aulophyllidae","Axoclisia","solitary",3,"",""
"Espielia","Aulophyllidae","Espielia","colonial",3,"Rodríguez, Sergio, and José Miguel Hernando. ""Description of Espielia columellata gen. and sp. nov.(Rugosa) from the Sierra del Castillo Unit (upper Viséan, Córdoba, SW Spain)."" Geobios 38.4 (2005): 553-561.","fasciculate"
"Yuanophylloides","Aulophyllidae","Yuanophylloides","solitary",3,"",""
"Arachnolasmella","Aulophyllidae","Arachnolasmella","solitary",2,"",""
"Caninostrotion","Aulophyllidae","Caninostrotion","colonial",2,"",""
"Sestrophyllum","Aulophyllidae","Sestrophyllum","solitary",2,"",""
"Spirophyllum","Aulophyllidae","Spirophyllum","solitary",2,"",""
"Arachniophyllum","Aulophyllidae","Arachniophyllum","solitary",1,"",""
"Delepinella","Aulophyllidae","Delepinella","",1,"",""
