"min_ma","max_ma","r_number","name","formation","system","series","intervall","time_slice","reliabilit","subsurface","type","thickness","m_thick","width","m_width","extension","m_ext","ext_belt","belonging","tropical","environmen","subenviron","bathymetry","biota_main","biota_sec","biota_deta","alg_type","p_lmc","p_arag","p_hmc","upwell","control","diversity","m_spec","guild","macro_bor","micro_bor","vert_zonat","hor_zonat","micrite","sparite","debris","dolomite","reservoir","ref1","ref2","remarks","country","latit","longit","collection","pal_lat_m","pal_long_m","pal_lat_scotese","pal_long_scotese"
"208.50","228.00","1","Tilkideligi Tepe","","Triassic","Upper Triassic","lower Norian","18","3","0","1","2","","","","2","","100","","0","2","2a","2","6","4","8","","0","100","0","0","0","2","7","2","","1","","","2","2","3","0","0","91","1377","Thallophytes microborings.","Turkey","37.0333","30.3833","38048","5.21276444499","27.4270265634","8.87947","21.7674"
"228.00","230.00","2","Hydra","Pantokrator Limestone","Triassic","Upper Triassic","upper Carnian","18","2","0","1","3","","","","4","","9","","0","1","","1","1","6","3","","0","80","20","0","0","3","41","1","1","1","3","","2","2","2","0","0","33","218","Predominantly late Carnian (Tuvalian, but covers late Carnian to early Norian and continues into late Norain and Rhaetian. From Flügel pers. comm.The Late Carnian to Early Norian part of the reef sequence consists of (a) biodetrital limestones with Tubiphytes and internal breccias, overlain by (b) a high-diverse coral-sponge reef limestones, followed by (c) sponge-coral reef limestones, (d) a breccia horizont, and (e) a coral reef limestone with dendroid corals (Retiophyllia) and abundant solenoporacean red algae. Diversity is high in the intervals b and c but decreases in interval e. Common fossils are sphinctozoids, inozoids and chaetetids (Senowbari-Daryan and Schäfer, 1983), corals (Turnsek and Senowbari-Daryan, 1994), algae (Schäfer and Senowbari-Daryan, 1982, Angiolini and others, 1992), microproblematica and foraminifera. Sphinctozoid sponges and scleractinian corals correspond to taxa known from Carnian reefs of the Alps. In contrast to the Alpine Carnian localities, corals seem to be more abundant in Hydra.","Greece","37.3833","23.6333","38018","1.80492093455","20.9315359348","7.32517","20.2917"
"0.00","0.00","3","Shiraho, W-Pacific","","Quarternary","Holocene","Holocene","34","3","0","1","","","","","3","","25","","0","2","2b","1","1","2","1","1","0","70","30","0","0","3","","1","","","","","","","2","0","0","10","0","","Pacific","24.3333","124.25","","24.3333","124.25","24.3795","124.163"
"227.00","237.00","4","Aksu-Terziler area","","Triassic","Upper Triassic","Tuvalian","17","3","0","1","2","","","","2","","100","1","0","2","2a","2","6","4","8","","0","100","0","0","0","3","24","2","","1","","","2","1","3","0","0","91","1377","Cipit boulders 'composed' of four different facieszones: in the same frequency bafflestones (in some parts framestone) and wackestones, while pelsparite grainstones and oncoidal grainstones rarely occur. Tuvalian 1-2. Bafflestones with sphinctozoans, inozoans, chaetetids, cerioid corals solenoporacean, porostromata and chaetetid crusts.","Turkey","37.8","31.0333","60649","0.728913373589","27.1457367653","-0.309389","26.3043"
"201.30","204.00","5","Adnet, Salzburg","","Triassic","Upper Triassic","upper Rhaetian","18","3","0","1","3","","","","3","","1","","0","2","2a","1","1","6","3","","0","100","0","0","1","3","45","2","1","1","2","2","2","2","2","0","0","11","49","The Upper Rhaetian coral limestone of Adnet, southeast of Salzburg, Austria has been repeatedly referred to as one of the most spectacular examples of an ancient 'autochthonous' coral reef structure. The 'Tropfbruch' quarry is probably the best outcrop for interpreting the distributional patterns of biotic successions and communities of a late Triassic patch reef. Our study is based on the interpretation of a) outcrop photographs, b) reef maps resulting from quadrat transects, and c) the analysis of quantitative data describing the distribution and frequency of reef organisms and sediment. A new methodological approach (combination of reef mapping and photo-transects) is used to obtain quantitative field data which can be compared in greater detail with data from modern coral reefs investigated by corresponding quantitative surveys.  Three unconformities and three well-defined 'reef growth stages' reflecting the vertical and lateral development of the reef structure were differentiated using transects:  Stage 1, representing the reef growth optimum, is characterized by laterally differentiated coral reef knobs with corals in growth position. Criteria supporting this interpretation are the extraordinary size of the corals, their preservation in situ and the great thickness of this interval. The massive coral Pamiroseris grew under higher energy conditions at the rim of the reef knob, whereas branching Retiophyllia colonies preferred less agitated water in the center. Vertical changes are reflected by an increase in frequency of the dasycladacean alga Diplopora adnetensis and by the decreasing size of Retiophyllia. These sedimentological and biological criteria together with the unconformity above indicate a fall in the sea level as a major control mechanism.  Stage 2, separated from stage 3 by an unconformity caused by partial subaerial exposure and karstification, is characterized by vertically stacked coral successions with diverse reef debris. Facies heterogeneity is reflected by differences in the diversity, taphonomy and packing density of reef-building organisms as well as by differences in sediment input from the platform. Water depths and accommodation space were lower, therefore minor sea level fluctuations had a stronger effect on the biotic composition. The high percentage of coral debris and corals reworked by storms and the increase in the input of platform sediment led to a reduction of reef growth.  Stage 3, again separated at the base by an unconformity associated with karstification, is characterized by bioclastic sediments with isolated reefbuilders forming a level-bottom community. The distribution of different coral morphotypes suggests that sea level fluctuations were not the only controlling factor. Variations in the substrate were caused by differences in the input of platform sediment.  The vertical changes in reef community structures correspond to a sequence of 'allogenic replacements', because the change from one community to another is the result of extrinsic environmental factors (short-term subaerial exposure of parts of the reef structure and renewed flooding). Our new data provide no support for the model of ecological reef successions to the Adnet reef. The three-step development seen in Adnet documents the response of low-diverse coral associations to variations caused by small-scale sea level changes, storm activity and sedimentation.  The distribution of communities as well as the vertical development of the Adnet reef structure offer no general model of Alpine Upper Rhaetian reefs, because of the particular setting of the patch reef (platform reef surrounded by calcareous sands). Only the 'capping beds' of the Upper Rhaetian Reef Limestone of the Steinplatte exhibit criteria similar to Adnet (high coverage of spatially separated Retiophyllia A and Retiophyllia B communities, strong inpact of freshwater dissolution pointing to subaerial exposure and small-scale karstification).  Potential modern analogues of features seen in the coral communities of Adnet are the internal structure of the Retiophyllia thickets, the key role of branching corals within the communities, the scattered distribution and low and even diversity of corals subsequent to breaks in settlement, segration patterns of corals indicating 'contact avoidance', toppling of large coral colonies by intensive boring, and decreasing coral coverage from deeper and sheltered settings to more shallower water depths.","Austria","47.7","13.1667","22963","29.8636407331","24.0155922233","32.6069","16.4294"
"201.30","208.50","6","Rötelwand","","Triassic","Upper Triassic","Rhaetian","18","3","0","1","3","","","","4","","15","","0","1","1b","1","1","6","3","","0","100","0","0","0","3","54","2","1","1","","","2","1","2","0","0","11","49","Additionally encrusting algae (solenoporaceans) and forams important. Hexcorals and spongiomorphs about equally important. Radiolarians in underlying mudstones suggest slope deposition to me. Plenty of siliclastic input.","Austria","47.7","13.1833","36815","29.0064896519","22.9845268547","32.4826","15.5517"
"201.30","208.50","7","Rio Blanco","","Triassic","Upper Triassic","Rhaetian","18","2","0","2","2","","","","2","","","","0","3","","2","8","8","76","","80","20","0","0","0","1","2","4","","","","","3","2","1","0","0","13","0","","Spain","37.325","-3.4333","67734","21.7241741366","12.0665468454","24.7231","0.828875"
"228.00","230.00","8","Anxian, Sichuan","Hanwang","Triassic","Upper Triassic","upper Carnian","18","3","0","2","2","60","","","3","","25","","0","1","1e","2","11","8","43","","70","30","0","0","0","2","","2","","","2","3","3","1","1","0","0","14","71","Diverse siliceous sponges. Some encrusting serpulids. 100 x 60m. No microbial crusts. 10-40 % fossils (locally 70 %).","China","31.6167","104.4333","25405","44.4731528493","112.921002826","29.1875","90.9345"
"208.50","214.00","9","Grimming","","Triassic","Upper Triassic","upper Norian","18","3","0","1","3","","","","4","","200","","0","2","2a","1","6","1","3","2","0","100","0","0","0","3","30","1","1","1","","","1","2","3","0","0","6","15","No detailed descriptions available","Austria","47.5833","14.25","170644","25.8777680422","20.8596955894","28.8474","16.8181"
"208.50","228.00","10","Lime Peak, Yukon","Aksala","Triassic","Upper Triassic","Norian","18","2","0","1","3","150","3","1000","4","3000","","","0","1","","1","6","1","3","","0","100","0","0","0","3","22","3","","","","","2","2","2","0","0","16","57","Stikinia terrane. Hankock member. Abstract of ref. 1404: An Upper Triassic reef complex, formed in the convergent margin of the Stikine Terrane, is well exposed at Lime Peak, in the southern Yokon. It consists of superimposed patch reefs and bedded inter-reef limestone and is  surrounded by volcaniclastic rocks. The reefs are up to 150 m thick and are composed of variable proportions of sponge-coral framework and skeletal sediment. They are the first Tethyan-type sponge reefs recognized in North America. The inter-reef limestones include thick-bedded accumulations of locally derived organisms, and thin-bedded deposits of reef-derived debris. The Lime Peak fossils are a mixture of those with Tethyan affinities, North American endemics, and new forms, possibly reflecting the origin of Stikinia between the Tethys and cratonic North America.","Canada","61.0611","-134.8736","38033","45.9544864903","-47.3063778189","27.3014","-73.4842"
