"bin","interval_name","rank","max_ma","mid_ma","min_ma","duration_myr","abbr","colour","font"
1,"Fortunian","international ages",538.8,533.9,529,9.79999999999995,"Fo","#99B575","black"
2,"Stage 2","international ages",529,525,521,8,"S2","#A6BA80","black"
3,"Stage 3","international ages",521,517.5,514,7,"S3","#A6C583","black"
4,"Stage 4","international ages",514,511.5,509,5,"S4","#B3CA8E","black"
5,"Wuliuan","international ages",509,506.75,504.5,4.5,"Wul","#B3D492","black"
6,"Drumian","international ages",504.5,502.5,500.5,4,"Dr","#BFD99D","black"
7,"Guzhangian","international ages",500.5,498.75,497,3.5,"Gu","#CCDFAA","black"
8,"Paibian","international ages",497,495.5,494,3,"Pa","#CCEBAE","black"
9,"Jiangshanian","international ages",494,491.75,489.5,4.5,"J","#D9F0BB","black"
10,"Stage 10","international ages",489.5,487.45,485.4,4.10000000000002,"S1","#E6F5C9","black"
11,"Tremadocian","international ages",485.4,481.55,477.7,7.69999999999999,"Tr","#33A97E","black"
12,"Floian","international ages",477.7,473.85,470,7.69999999999999,"Fl","#41B087","black"
13,"Dapingian","international ages",470,468.65,467.3,2.69999999999999,"Dap","#66C092","black"
14,"Darriwilian","international ages",467.3,462.85,458.4,8.90000000000003,"Dar","#74C69C","black"
15,"Sandbian","international ages",458.4,455.7,453,5.39999999999998,"Sand","#8CD094","black"
16,"Katian","international ages",453,449.1,445.2,7.80000000000001,"Kat","#99D69F","black"
17,"Hirnantian","international ages",445.2,444.5,443.8,1.39999999999998,"Hi","#A6DBAB","black"
18,"Rhuddanian","international ages",443.8,442.3,440.8,3,"Rhu","#A6DCB5","black"
19,"Aeronian","international ages",440.8,439.65,438.5,2.30000000000001,"Ae","#B3E1C2","black"
20,"Telychian","international ages",438.5,435.95,433.4,5.10000000000002,"Te","#BFE6CF","black"
21,"Sheinwoodian","international ages",433.4,431.95,430.5,2.89999999999998,"Sh","#BFE6C3","black"
22,"Homerian","international ages",430.5,428.95,427.4,3.10000000000002,"Ho","#CCEBD1","black"
23,"Gorstian","international ages",427.4,426.5,425.6,1.79999999999995,"Go","#CCECDD","black"
24,"Ludfordian","international ages",425.6,424.3,423,2.60000000000002,"Lud","#D9F0DF","black"
25,"Pridoli","international ages",423,421.1,419.2,3.80000000000001,"Prid","#E6F5E1","black"
26,"Lochkovian","international ages",419.2,415,410.8,8.39999999999998,"Lo","#E5B75A","black"
27,"Pragian","international ages",410.8,409.2,407.6,3.19999999999999,"Pra","#E5C468","black"
28,"Emsian","international ages",407.6,400.45,393.3,14.3,"Em","#E5D075","black"
29,"Eifelian","international ages",393.3,390.5,387.7,5.60000000000002,"Ei","#F1D576","black"
30,"Givetian","international ages",387.7,385.2,382.7,5,"Gi","#F1E185","black"
31,"Frasnian","international ages",382.7,377.45,372.2,10.5,"Fr","#F2EDAD","black"
32,"Famennian","international ages",372.2,365.55,358.9,13.3,"Fa","#F2EDC5","black"
33,"Tournaisian","international ages",358.9,352.8,346.7,12.2,"Tou","#8CB06C","black"
34,"Visean","international ages",346.7,338.8,330.9,15.8,"Vi","#A6B96C","black"
35,"Serpukhovian","international ages",330.9,327.05,323.2,7.69999999999999,"Serp","#BFC26B","black"
36,"Bashkirian","international ages",323.2,319.2,315.2,8,"Bas","#99C2B5","black"
37,"Moscovian","international ages",315.2,311.1,307,8.19999999999999,"Mo","#C7CBB9","black"
38,"Kasimovian","international ages",307,305.35,303.7,3.30000000000001,"Kas","#BFD0C5","black"
39,"Gzhelian","international ages",303.7,301.3,298.9,4.80000000000001,"Gz","#CCD4C7","black"
40,"Asselian","international ages",298.9,296.21,293.52,5.38,"As","#E36350","black"
41,"Sakmarian","international ages",293.52,291.81,290.1,3.41999999999996,"Sak","#E36F5C","black"
42,"Artinskian","international ages",290.1,286.8,283.5,6.60000000000002,"Ar","#E37B68","black"
43,"Kungurian","international ages",283.5,278.255,273.01,10.49,"Ku","#E38776","black"
44,"Roadian","international ages",273.01,269.955,266.9,6.11000000000001,"Ro","#FB8069","black"
45,"Wordian","international ages",266.9,265.59,264.28,2.62,"Wo","#FB8D76","black"
46,"Capitanian","international ages",264.28,261.895,259.51,4.76999999999998,"Cap","#FB9A85","black"
47,"Wuchiapingian","international ages",259.51,256.825,254.14,5.37,"Wuc","#FCB4A2","black"
48,"Changhsingian","international ages",254.14,253.021,251.902,2.238,"Chan","#FCC0B2","black"
49,"Induan","international ages",251.902,251.551,251.2,0.701999999999998,"I","#A4469F","white"
50,"Olenekian","international ages",251.2,249.2,247.2,4,"Ol","#B051A5","white"
51,"Anisian","international ages",247.2,244.6,242,5.19999999999999,"An","#BC75B7","black"
52,"Ladinian","international ages",242,239.5,237,5,"Lad","#C983BF","black"
53,"Carnian","international ages",237,232,227,10,"Car","#C99BCB","black"
54,"Norian","international ages",227,217.75,208.5,18.5,"Nori","#D6AAD3","black"
55,"Rhaetian","international ages",208.5,204.95,201.4,7.09999999999999,"Rha","#E3B9DB","black"
56,"Hettangian","international ages",201.4,200.45,199.5,1.90000000000001,"He","#4EB3D3","black"
57,"Sinemurian","international ages",199.5,196.2,192.9,6.59999999999999,"Si","#67BCD8","black"
58,"Pliensbachian","international ages",192.9,188.55,184.2,8.70000000000002,"Pl","#80C5DD","black"
59,"Toarcian","international ages",184.2,179.45,174.7,9.5,"Toa","#99CEE3","black"
